brand,fuel_type,gear_type,mileage,model,price,ps,year_of_registration
citroen,benzin,manuell,150000,andere,1500,75,2000
audi,diesel,manuell,40000,q5,40000,150,2015
volkswagen,benzin,manuell,150000,bora,500,150,2000
volkswagen,benzin,automatik,150000,touareg,8000,220,2005
opel,benzin,manuell,150000,corsa,3000,60,2008
kia,benzin,manuell,150000,andere,1500,126,2008
audi,benzin,manuell,150000,tt,4500,250,2000
bmw,diesel,manuell,125000,3er,14000,245,2009
opel,diesel,manuell,150000,zafira,1500,125,2005
volkswagen,benzin,manuell,150000,golf,1500,75,2000
opel,diesel,manuell,150000,zafira,4000,120,2006
peugeot,benzin,manuell,125000,2_reihe,3500,120,2008
bmw,benzin,manuell,150000,3er,17500,270,2009
opel,benzin,manuell,125000,vectra,4000,125,2005
volkswagen,diesel,manuell,150000,polo,6000,90,2011
skoda,benzin,manuell,30000,fabia,7000,69,2009
nissan,benzin,manuell,150000,juke,8000,117,2011
mercedes_benz,diesel,automatik,150000,e_klasse,9000,204,2012
fiat,benzin,manuell,150000,punto,1000,60,2005
bmw,benzin,manuell,150000,3er,1500,102,1995
volkswagen,benzin,manuell,125000,cc,15000,160,2013
mercedes_benz,benzin,automatik,150000,c_klasse,1500,163,2005
volkswagen,benzin,automatik,125000,golf,9000,105,2010
lancia,benzin,manuell,150000,ypsilon,500,60,2000
