brand,car_type,color,mileage,model,price,ps,year_of_registration
volkswagen,kleinwagen,schwarz,150000,golf,7000,280,2005
volkswagen,limousine,rot,150000,golf,7000,200,2005
bmw,limousine,weiss,150000,7er,20000,306,2010
mazda,cabrio,blau,150000,mx_reihe,3500,110,2000
volkswagen,kombi,weiss,90000,passat,27500,239,2015
bmw,kombi,schwarz,150000,3er,20000,184,2012
skoda,kombi,grau,150000,octavia,1500,140,2006
bmw,coupe,weiss,5000,3er,12000,512,2005
nissan,suv,schwarz,150000,navara,15000,174,2006
mercedes_benz,coupe,silber,150000,andere,7000,185,1980
mazda,kombi,blau,150000,6_reihe,2500,147,2005
bmw,kombi,schwarz,150000,5er,9000,177,2008
opel,kombi,silber,150000,astra,2500,150,2006
ford,andere,grau,150000,fusion,1000,,2006
volkswagen,kleinwagen,blau,150000,polo,1000,55,2005
volkswagen,coupe,blau,5000,golf,500,75,2015
toyota,limousine,gold,125000,avensis,5000,147,2005
nissan,,,150000,note,2000,,2008
volkswagen,kleinwagen,schwarz,125000,golf,3000,,2005
mitsubishi,coupe,gruen,100000,colt,12000,150,2000
opel,kleinwagen,silber,150000,corsa,2500,90,2005
volkswagen,kombi,rot,125000,passat,1500,90,1995
renault,cabrio,schwarz,150000,megane,4500,131,2009
ford,cabrio,rot,80000,mustang,55000,224,1970
toyota,coupe,blau,125000,andere,30000,450,1995
renault,kleinwagen,blau,150000,twingo,500,58,2000
renault,bus,silber,150000,scenic,1000,107,2005
nissan,kleinwagen,silber,70000,micra,3000,,2005
audi,limousine,weiss,150000,a6,30000,313,2012
mercedes_benz,limousine,,90000,e_klasse,4000,,2000
mercedes_benz,limousine,silber,125000,c_klasse,27500,457,2009
bmw,,,150000,3er,2000,120,2000
toyota,limousine,silber,150000,corolla,3500,110,2005
ford,coupe,gold,70000,andere,22500,364,1970
bmw,limousine,schwarz,90000,1er,6000,122,2009
audi,limousine,gruen,150000,a8,2500,299,1995
nissan,limousine,blau,150000,micra,1500,60,2005
volkswagen,limousine,rot,150000,golf,5000,140,2006
bmw,limousine,weiss,150000,1er,8000,116,2011
opel,limousine,schwarz,30000,astra,15000,105,2015
bmw,limousine,blau,100000,1er,7000,143,2007
ford,bus,grau,150000,galaxy,9000,175,2008
bmw,cabrio,blau,150000,3er,9000,170,2005
bmw,limousine,grau,125000,5er,27500,258,2013
peugeot,coupe,schwarz,150000,rcz,10000,200,2010
mercedes_benz,coupe,gruen,40000,e_klasse,50000,245,2015
mazda,limousine,rot,100000,3_reihe,3000,84,2005
renault,kleinwagen,gruen,125000,twingo,,,2015
bmw,coupe,schwarz,150000,3er,6000,170,2007
opel,kombi,grau,150000,astra,4500,90,2010
mercedes_benz,suv,schwarz,150000,m_klasse,5000,209,2015
opel,kleinwagen,blau,150000,corsa,1000,60,2005
volkswagen,,schwarz,150000,golf,3500,,2007
volkswagen,limousine,silber,150000,golf,3000,101,2000
bmw,cabrio,schwarz,125000,3er,20000,306,2007
mercedes_benz,limousine,schwarz,150000,andere,1500,112,2000
volkswagen,,,150000,transporter,4000,,2006
audi,coupe,silber,150000,a3,8000,300,2000
bmw,limousine,blau,125000,5er,12000,116,1980
bmw,coupe,schwarz,125000,z_reihe,40000,445,2007
bmw,kombi,andere,150000,3er,3500,143,2007
volkswagen,bus,rot,150000,caddy,6000,102,2008
volkswagen,limousine,schwarz,150000,passat,10000,140,2010
seat,bus,silber,150000,alhambra,1500,131,2005
mercedes_benz,kombi,grau,150000,c_klasse,4000,150,2006
ford,kleinwagen,schwarz,30000,ka,6000,69,2014
volkswagen,suv,grau,150000,touareg,6000,224,2005
ford,kombi,braun,125000,focus,10000,150,2011
mercedes_benz,cabrio,silber,150000,sl,35000,231,1990
mitsubishi,limousine,blau,150000,carisma,1000,,2000
opel,kombi,schwarz,150000,astra,4000,116,2008
bmw,limousine,blau,150000,5er,7000,231,2005
mercedes_benz,limousine,schwarz,150000,c_klasse,2000,163,2005
bmw,limousine,,150000,5er,,177,2005
citroen,kombi,weiss,150000,andere,5000,120,2010
mercedes_benz,suv,schwarz,70000,andere,25000,156,2014
opel,,silber,150000,meriva,1000,,2006
mercedes_benz,bus,schwarz,70000,b_klasse,8000,109,2011
opel,kombi,blau,150000,insignia,8000,160,2009
skoda,limousine,gruen,150000,fabia,2500,75,2005
honda,coupe,schwarz,150000,civic,1500,105,1995
bmw,limousine,schwarz,100000,3er,17500,143,2013
mercedes_benz,coupe,braun,150000,cls,14000,224,2010
audi,kombi,gruen,150000,a4,2000,165,2000
renault,andere,blau,30000,andere,14000,90,2015
opel,kleinwagen,silber,150000,corsa,1500,90,1990
renault,suv,blau,20000,andere,14000,90,2015
renault,suv,blau,20000,andere,14000,90,2015
renault,kleinwagen,weiss,150000,clio,5000,90,2013
ford,kleinwagen,rot,100000,fiesta,4000,60,2009
bmw,limousine,silber,150000,2er,3000,150,2005
mercedes_benz,limousine,weiss,150000,andere,8000,122,1995
ford,kombi,grau,50000,focus,12000,125,2015
opel,bus,blau,125000,meriva,3500,105,2005
bmw,cabrio,schwarz,100000,3er,25000,306,2011
volkswagen,limousine,schwarz,10000,golf,22500,150,2015
volkswagen,bus,silber,60000,touran,22500,116,2015
sonstige_autos,limousine,schwarz,80000,,25000,500,2007
audi,kombi,schwarz,70000,a6,27500,313,2013
mercedes_benz,kombi,rot,40000,c_klasse,50000,367,2015
smart,kleinwagen,orange,20000,forfour,9000,71,2015
mercedes_benz,limousine,silber,150000,e_klasse,6000,122,2005
mercedes_benz,limousine,blau,100000,c_klasse,4500,136,1995
mazda,coupe,,125000,rx_reihe,13000,239,1995
mercedes_benz,kombi,silber,50000,c_klasse,30000,333,2015
ford,suv,blau,50000,andere,30000,200,2015
bmw,cabrio,schwarz,125000,z_reihe,20000,204,2011
ford,kombi,grau,125000,mondeo,17500,150,2015
mercedes_benz,limousine,schwarz,125000,e_klasse,25000,170,2015
mercedes_benz,kombi,weiss,125000,e_klasse,22500,170,2015
seat,bus,grau,50000,alhambra,25000,150,2015
bmw,limousine,schwarz,125000,andere,25000,306,2013
mercedes_benz,limousine,schwarz,60000,cla,22500,211,2013
audi,kombi,blau,90000,a4,25000,150,2015
mercedes_benz,bus,weiss,80000,b_klasse,20000,177,2015
volvo,suv,schwarz,20000,xc_reihe,35000,190,2015
audi,suv,silber,5000,q2,35000,150,2015
bmw,limousine,blau,20000,i3,35000,102,2015
volvo,suv,schwarz,60000,xc_reihe,25000,181,2015
volkswagen,suv,weiss,20000,touareg,55000,262,2015
bmw,limousine,grau,150000,5er,17500,299,2011
bmw,kombi,grau,125000,3er,22500,218,2015
volkswagen,limousine,blau,20000,golf,17500,110,2015
bmw,kombi,grau,100000,3er,20000,245,2015
renault,andere,schwarz,30000,andere,14000,90,2015
renault,bus,schwarz,150000,scenic,1500,,2005
volkswagen,kombi,schwarz,30000,golf,25000,125,2015
sonstige_autos,cabrio,schwarz,20000,,90000,517,2013
volkswagen,suv,orange,30000,andere,30000,150,2015
opel,,,150000,andere,,,2005
skoda,kombi,grau,30000,superb,27500,190,2015
skoda,kombi,beige,40000,octavia,20000,116,2015
mercedes_benz,coupe,grau,30000,andere,90000,571,2010
citroen,cabrio,weiss,70000,ds3,9000,92,2014
toyota,kleinwagen,silber,125000,yaris,1500,65,2005
volkswagen,suv,,150000,touareg,,245,2012
opel,kombi,,150000,astra,5000,,2011
volkswagen,kombi,weiss,150000,passat,11000,172,2013
bmw,cabrio,,150000,2er,15000,116,2015
peugeot,bus,weiss,70000,andere,11000,120,2014
volkswagen,limousine,schwarz,150000,polo,1000,55,2000
bmw,limousine,silber,70000,3er,7000,192,2005
hyundai,limousine,weiss,100000,i_reihe,9000,99,2014
audi,limousine,blau,150000,80,,90,1995
mercedes_benz,,schwarz,125000,andere,2500,102,2005
audi,kombi,,150000,a4,9000,143,2008
volkswagen,bus,blau,150000,transporter,3000,102,2000
mercedes_benz,coupe,grau,125000,e_klasse,20000,292,2010
opel,limousine,silber,80000,corsa,,80,2006
volkswagen,limousine,blau,20000,golf,8000,80,2007
opel,kleinwagen,gelb,150000,corsa,4000,75,2012
bmw,kombi,,150000,3er,4000,245,2008
bmw,limousine,,150000,x_reihe,9000,184,2011
daihatsu,kleinwagen,rot,90000,trevis,4000,58,2006
jeep,suv,schwarz,150000,grand,6000,190,2000
opel,limousine,grau,150000,zafira,1000,101,2000
bmw,limousine,schwarz,150000,5er,,170,2000
bmw,limousine,schwarz,125000,3er,25000,354,2011
bmw,,,150000,3er,2500,,2007
ford,kleinwagen,schwarz,150000,fiesta,1000,60,2005
opel,kleinwagen,weiss,80000,corsa,6000,90,2011
mercedes_benz,kombi,grau,150000,andere,1500,,1995
mercedes_benz,limousine,grau,150000,a_klasse,500,102,2000
volkswagen,suv,schwarz,150000,golf,11000,140,2010
ford,limousine,silber,150000,fusion,1500,68,2006
ford,kombi,blau,150000,mondeo,4500,140,2009
opel,limousine,schwarz,150000,astra,2000,125,2005
trabant,,,125000,601,500,,1990
audi,kombi,braun,150000,a6,22500,245,2012
ford,bus,rot,150000,c_max,,,2005
mini,kleinwagen,schwarz,150000,cooper,4000,116,2005
bmw,cabrio,schwarz,150000,3er,10000,193,2000
renault,bus,silber,150000,scenic,1000,107,2000
renault,limousine,violet,150000,clio,2000,103,2006
volkswagen,limousine,grau,150000,touran,3500,116,2005
audi,kombi,,150000,a4,2000,150,2000
bmw,limousine,,150000,5er,7000,,2006
volkswagen,limousine,schwarz,150000,golf,9000,170,2010
chevrolet,kleinwagen,blau,80000,matiz,1000,67,2006
skoda,kombi,rot,50000,rapid,13000,110,2015
fiat,kleinwagen,rot,40000,500,10000,105,2015
chevrolet,limousine,weiss,150000,andere,5000,150,2010
mercedes_benz,limousine,weiss,150000,andere,3500,122,1985
volvo,limousine,weiss,125000,c_reihe,8000,114,2011
bmw,cabrio,schwarz,50000,1er,14000,170,2008
volkswagen,limousine,blau,150000,golf,4500,,2005
bmw,suv,weiss,50000,x_reihe,55000,258,2015
mercedes_benz,coupe,schwarz,10000,e_klasse,50000,245,2015
mercedes_benz,kombi,grau,60000,e_klasse,40000,408,2015
bmw,kombi,grau,50000,3er,15000,184,2012
bmw,limousine,schwarz,20000,7er,70000,326,2015
toyota,bus,schwarz,150000,avensis,4500,150,2005
bmw,coupe,schwarz,150000,3er,8000,218,2007
bmw,,,5000,3er,50,,2000
volkswagen,bus,weiss,150000,transporter,14000,114,2015
volkswagen,kleinwagen,blau,150000,polo,4000,60,2009
volkswagen,kombi,silber,150000,bora,2000,101,2000
volkswagen,limousine,schwarz,150000,golf,8000,122,2009
opel,bus,,90000,vivaro,14000,114,2014
opel,kleinwagen,blau,150000,corsa,1500,60,2005
volkswagen,cabrio,,150000,golf,500,,2000
fiat,limousine,rot,150000,bravo,2500,150,2008
fiat,kleinwagen,schwarz,30000,punto,5000,69,2012
fiat,kleinwagen,weiss,70000,punto,4500,105,2010
bmw,limousine,schwarz,150000,5er,3000,170,2000
bmw,cabrio,weiss,150000,3er,4000,116,1995
nissan,suv,rot,5000,qashqai,20000,116,2015
volkswagen,kleinwagen,rot,150000,polo,500,,2000
skoda,kleinwagen,blau,60000,fabia,13000,110,2015
toyota,,silber,80000,auris,5000,97,2007
audi,coupe,silber,150000,tt,4000,179,2000
volkswagen,kleinwagen,schwarz,125000,polo,1000,54,2005
sonstige_autos,,,150000,,3000,,2000
audi,limousine,schwarz,150000,a4,10000,145,2011
nissan,kleinwagen,rot,150000,micra,1000,,1995
audi,kombi,gruen,150000,a6,1500,165,2000
toyota,bus,schwarz,150000,verso,3500,177,2006
opel,bus,silber,150000,zafira,3000,120,2005
ford,kleinwagen,blau,150000,fiesta,1000,60,2005
renault,bus,gruen,100000,modus,2500,88,2005
opel,kleinwagen,andere,125000,corsa,1500,60,2005
audi,coupe,silber,80000,tt,11000,224,2000
honda,kleinwagen,blau,50000,civic,3500,90,2000
volkswagen,limousine,blau,125000,golf,17500,310,2011
volkswagen,limousine,rot,150000,polo,5000,86,2010
mercedes_benz,coupe,grau,125000,e_klasse,20000,292,2010
volkswagen,,blau,150000,golf,2000,105,2000
bmw,limousine,,150000,5er,4000,170,2005
audi,suv,weiss,150000,q7,25000,340,2011
volkswagen,limousine,blau,150000,golf,1500,116,2005
volkswagen,bus,weiss,150000,transporter,14000,114,2015
audi,coupe,grau,150000,s2,17500,230,1995
bmw,limousine,weiss,150000,x_reihe,17500,235,2010
mercedes_benz,bus,weiss,150000,sprinter,6000,129,2009
volkswagen,bus,weiss,150000,transporter,14000,114,2015
audi,,,150000,a3,3500,,2005
ford,bus,schwarz,150000,galaxy,2000,116,2005
lexus,limousine,grau,150000,gs_serie,7000,249,2009
peugeot,limousine,weiss,10000,1_reihe,10000,72,2015
volkswagen,kombi,schwarz,150000,passat,3500,150,2005
mini,kleinwagen,silber,150000,one,2000,90,2005
mercedes_benz,limousine,schwarz,5000,andere,3000,197,2000
bmw,kombi,silber,5000,3er,1500,136,2015
bmw,andere,silber,150000,3er,1000,115,2005
audi,limousine,,150000,a4,4000,150,2000
mercedes_benz,limousine,,150000,c_klasse,4500,150,2005
audi,cabrio,rot,150000,80,2500,116,1995
volkswagen,cabrio,,150000,golf,2000,101,2000
volkswagen,limousine,grau,125000,golf,14000,211,2011
audi,kombi,schwarz,150000,a4,3500,193,2000
volkswagen,cabrio,schwarz,150000,golf,2000,116,2005
mercedes_benz,cabrio,schwarz,150000,sl,17500,231,2000
volkswagen,kleinwagen,schwarz,125000,golf,7000,80,2009
