brand,car_type,color,fuel_type,gear_type,mileage,model,price,ps,year_of_registration
bmw,limousine,schwarz,diesel,automatik,150000,x_reihe,22500,245,2011
hyundai,suv,,lpg,manuell,150000,santa,5000,145,2006
audi,limousine,schwarz,diesel,automatik,60000,a6,20000,245,2011
volkswagen,bus,schwarz,diesel,manuell,90000,touran,15000,140,2013
volkswagen,suv,braun,diesel,manuell,80000,tiguan,20000,140,2015
skoda,kombi,weiss,benzin,manuell,30000,octavia,27500,230,2015
bmw,limousine,weiss,diesel,automatik,150000,x_reihe,17500,235,2008
hyundai,limousine,grau,benzin,manuell,150000,getz,3000,67,2009
audi,coupe,blau,benzin,automatik,10000,andere,70000,340,2015
volvo,kombi,silber,benzin,manuell,150000,andere,2000,163,2005
opel,kombi,grau,diesel,manuell,150000,astra,1500,120,2006
nissan,kleinwagen,rot,benzin,manuell,150000,micra,2500,62,2009
bmw,,,,,5000,5er,500,,2015
volkswagen,limousine,braun,diesel,manuell,150000,passat,6000,140,2006
audi,kombi,schwarz,diesel,manuell,150000,a4,3500,140,2005
mazda,limousine,weiss,diesel,manuell,150000,3_reihe,2500,150,2010
bmw,limousine,,benzin,automatik,150000,3er,9000,218,2006
peugeot,,,,,125000,andere,1000,,2005
opel,kleinwagen,silber,benzin,manuell,125000,corsa,2000,80,2005
mitsubishi,bus,gruen,benzin,automatik,150000,space_reihe,2500,147,2005
seat,kleinwagen,grau,benzin,manuell,150000,ibiza,500,50,2005
bmw,limousine,,benzin,manuell,5000,3er,3500,193,2005
bmw,,grau,benzin,manuell,100000,1er,5000,116,2006
volkswagen,bus,schwarz,diesel,manuell,150000,sharan,6000,140,2007
volkswagen,limousine,grau,benzin,manuell,150000,golf,1500,105,2000
skoda,kombi,schwarz,diesel,automatik,150000,octavia,14000,184,2015
mercedes_benz,limousine,silber,benzin,manuell,150000,a_klasse,1500,101,2005
audi,limousine,rot,benzin,manuell,150000,s6,10000,290,1995
mercedes_benz,kombi,violet,diesel,automatik,150000,e_klasse,5000,177,2005
ford,,,,manuell,150000,focus,2000,,2007
opel,coupe,schwarz,benzin,manuell,70000,astra,4500,90,2009
ford,bus,rot,diesel,manuell,125000,transit,8000,101,2013
bmw,cabrio,violet,benzin,manuell,150000,3er,2500,150,2000
smart,coupe,rot,benzin,automatik,50000,fortwo,3500,61,2009
mercedes_benz,limousine,gruen,benzin,automatik,150000,s_klasse,3000,224,2000
bmw,limousine,blau,benzin,manuell,150000,3er,4000,143,2005
